project_id,project_name,start_date,end_date
af5e38f6-5b29-4500-a56a-0bffc3e9830f,Sit sint officiis cupiditate sint ut deleniti.,2025-02-24,2025-09-18
a0218e71-1cb3-437f-abab-fce03583c0ba,Sit dignissimos sunt quaerat qui.,2025-05-07,2025-09-14
251789df-6c94-48f5-8c39-bd2e8fd8c5c7,Minima laborum consequuntur culpa dignissimos corrupti sapiente.,2025-06-01,2025-09-11
30b87476-06b7-4ff5-a44d-f60385639a62,Incidunt repellendus ipsum fugit labore id.,2025-04-14,2025-09-07
c1691e52-2e51-4e91-a392-10a2b76dc119,Voluptatibus rerum minima.,2025-05-07,2025-09-12
50cb6a97-d8b1-4179-8efc-d844525c8af3,Voluptate in adipisci deleniti incidunt ipsum expedita.,2025-01-31,2025-09-18
f58ad2e8-36ba-47d1-a801-75432b477586,Nobis autem odit commodi facere eos nihil.,2025-08-14,2025-09-16
0d04ca24-d304-4253-a46e-32c5e02494bd,Sed commodi et.,2025-05-18,2025-09-30
14050fd6-83d3-44c2-9f72-d52eec9d3d54,Reprehenderit pariatur rerum inventore mollitia et.,2025-01-21,2025-09-06
9efe88e8-88c5-4bda-8a87-bf4fa726a33e,Nobis maiores perspiciatis.,2025-06-06,2025-09-15
244d3a35-9cf7-4cd2-8666-52df8ad63e6a,Quod natus deserunt esse labore autem doloribus.,2025-06-16,2025-09-19
4d7b80a1-4f53-41ca-8a7c-06996f36808b,Eaque ipsam ad commodi aliquid sapiente repudiandae necessitatibus.,2025-02-18,2025-09-17
4aeb8796-60bc-4b29-b570-55279d77070f,Blanditiis doloribus fugiat voluptatem.,2025-02-22,2025-09-08
fec42332-a362-491c-b24f-94eeae1f689d,Odio voluptate molestias quasi suscipit repellendus alias.,2025-01-01,2025-09-20
a25e81c1-0c25-4b9c-b840-1a3dfa01217a,Doloremque labore a earum sapiente ad error.,2025-03-04,2025-09-24
765eb202-d2ac-4c53-9599-4aa5a0fde8d7,Velit dolorum facere velit provident.,2025-04-07,2025-09-08
679a4dc0-838b-48b5-a338-4098bbca58ce,Doloribus est beatae architecto.,2025-04-02,2025-09-28
c2207faf-0d32-4bf1-8b38-f6b9a44d0532,Occaecati quod ducimus.,2025-04-17,2025-09-08
33703682-2365-4761-bc88-e2243129d6df,Error voluptates quos libero neque.,2025-02-13,2025-09-06
05a53286-2d5e-45ba-9182-64ffded9e5d1,Enim minus beatae tenetur libero odit.,2025-08-17,2025-09-26
08daa635-ac55-4606-ba5f-5b3ee458e64e,Aliquid rem sapiente sunt perferendis adipisci.,2025-04-16,2025-09-28
c38b9bc2-d703-470a-b8e6-332339a3bfb6,Reiciendis iure aperiam occaecati ab nobis ut.,2025-08-11,2025-09-24
655436ac-af0c-4a16-9ffb-ed556a99fe30,Nulla eos ratione minima.,2025-03-22,2025-09-12
f7384dc5-69b6-4047-bc1b-24ac3dfcc498,Ducimus recusandae eum optio officia nobis repudiandae.,2025-07-06,2025-09-13
1ae110ab-122f-42ce-a82c-2b7c10ffa34a,Vero ab sunt ut rem possimus error.,2025-06-13,2025-09-14
38019cc9-46a9-4ab4-9f97-6cf3ca20928c,Qui sed repellendus.,2025-06-11,2025-09-20
9707229d-4048-4cf1-8441-d0f399ac576e,Nam consequatur provident.,2025-07-07,2025-09-17
5de556cd-88b7-46b1-9aea-e34e92b7aff8,Unde voluptas ipsum.,2025-03-27,2025-09-20
1c79ac19-09c1-441e-bf17-03be54cffbf9,Provident sit delectus est.,2025-07-10,2025-09-23
db9ad6e5-fd3d-45e3-85d5-e04d28db830d,Iusto deleniti itaque cum.,2025-06-04,2025-09-15
48e1793d-9c9c-4db2-999c-1b2edc050428,Cupiditate saepe culpa ullam quidem velit.,2025-08-04,2025-09-04
b98fa79e-74ad-44d2-b073-70c6543b262f,Mollitia ut inventore laudantium asperiores.,2025-03-02,2025-09-12
eb5d5e23-b5f5-4af2-a0d3-d30f8229e696,Saepe explicabo et.,2025-06-19,2025-09-04
413a9ac0-564e-42d4-9fbe-f44595804813,Quo asperiores et dignissimos eligendi suscipit deserunt.,2025-07-20,2025-09-15
133f497d-1eaf-48c3-bb9d-65b2c2e3dc69,Harum libero maiores.,2025-02-22,2025-09-25
